restaurant_id,name,price,timeslots,location,cuisine,city
76426,L'ulivo Leicester Square,Expensive,22:30,west_end_london,Italian,Leicester Square
260355,Lobby Bar at One Aldwych,Expensive,23:00,west_end_london,Bar / Lounge / Bottle Service,Covent Garden
418569,Benares Bar,Expensive,23:00,west_end_london,Bar / Lounge / Bottle Service,Mayfair
333756,Thirteen at Chateau Denmark,Expensive,23:00,west_end_london,Contemporary Asian,Soho
425580,PizzaExpress London - Aldwych,Moderate,23:00,west_end_london,Pizzeria,Covent Garden
251403,Gordon Ramsay Street Burger — Covent Garden,Moderate,23:00,west_end_london,Burgers,Aldwych
367800,Bar Kroketa St Christopher's Place,Moderate,23:00,west_end_london,Spanish,Marylebone
345828,Little Italy,Expensive,23:00,west_end_london,Contemporary Italian,Leicester Square
73930,Giotto Restaurant,Moderate,"23:00, 23:30, 00:00",west_end_london,Italian,Bloomsbury
269340,Síbín Speakeasy,Expensive,"23:00, 23:30, 00:00",west_end_london,Bar / Lounge / Bottle Service,Westminster
248472,8 at The Londoner,Moderate,"23:00, 23:30, 00:00",west_end_london,Bar / Lounge / Bottle Service,Soho
268656,Caffé Concerto - Covent Garden,Moderate,23:00,west_end_london,Italian,Leicester Square
371271,Shakara,Very Expensive,"22:30, 23:30, 00:00",west_end_london,West African,Marylebone
206142,Colony Club,Moderate,"23:00, 23:30",west_end_london,Japanese,Mayfair
319542,Bar Antoine,Expensive,"23:00, 23:30, 00:00",west_end_london,International,Mayfair
258393,Joshua's Tavern at The Londoner,Moderate,22:30,west_end_london,Pub,Leicester Square
347361,Hanasaki Japanese Restaurant,Expensive,22:30,west_end_london,Japanese,Fitzrovia
254499,Diwan,Moderate,22:30,west_end_london,Lebanese,Marylebone
248475,The Stage at the Londoner,Expensive,22:30,west_end_london,Cocktail Bar,Soho
215502,Stork Restaurant & Bar Ltd,Very Expensive,23:00,west_end_london,African,Mayfair
170970,Santo Mare,Very Expensive,22:30,west_end_london,Italian,Marylebone
164124,Farzi London,Expensive,22:30,west_end_london,Indian,Piccadilly
84016,VIA EMILIA (EX IN PARMA) by Food Roots - FITZROVIA,Moderate,22:30,west_end_london,Italian,Fitzrovia
352866,Caffè Concerto Covent Garden Piazza,Moderate,23:00,west_end_london,Cafe Dining,Covent Garden
268461,Koha Restaurant - Bar,Moderate,23:00,west_end_london,Cafe Dining,Soho
443922,Sway Sports Barnew,Expensive,22:30,west_end_london,Sports Bar,Holborn
